Review Id,Review Title,Reviewer ID,Writer ID,Feedback Type,Comment Text,Comment Date,Comment Word Count,Writer Helpfulness Rating,Instructor Endorsed,Revision Plan Count
1,Tagasiside kirjutamisülesande näidetele,242544,242494,rating explanation,,18/04/2022 15:02,0,,, 
1,Tagasiside kirjutamisülesande näidetele,242544,242494,likert explanation,,18/04/2022 15:02,0,,, 
1,Tagasiside kirjutamisülesande näidetele,242544,242261,rating explanation,,18/04/2022 15:02,0,,, 
1,Tagasiside kirjutamisülesande näidetele,242544,242261,likert explanation,,18/04/2022 15:02,0,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242544,rating explanation,"Edsimene väide tundub kaootiline. Kas me oleme tänulikud, et sõna levib mitmel viisil? Aga muidu on väga head näited ja väited.",16/04/2022 15:34,21,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242544,likert explanation,Teine väide on väga hea ja kolmas ka.,16/04/2022 15:34,8,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242544,contextual comment,"Ilmselt seostaksin kuidagi sellega, et tänapäeva ühiskond areneb kiiresti ja seetõttu, muutub ka sõna levimise ja vastutamise viis. ",16/04/2022 15:34,18,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242544,contextual comment,"Näitab hästi, et kui vastutusele inimesi ei võeta, siis on tänapäeva ühiskond hukkas.",16/04/2022 15:34,13,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242494,rating explanation,Pole väidet.,16/04/2022 15:24,2,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242494,likert explanation,Kadi Estlanti näide läheb hästi kokku valdkonnaga.,16/04/2022 15:24,7,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242494,contextual comment,Puudub väide.On ainult näide.,16/04/2022 15:24,4,,, 
1,Tagasiside kirjutamisülesande näidetele,242261,242494,contextual comment,Puudub väide. On ainult väide ja selgitus.,16/04/2022 15:24,7,,, 
1,Tagasiside kirjutamisülesande näidetele,242510,242485,rating explanation,Mulle meeldis Egiptuse-näide.,12/04/2022 12:01,3,,, 
1,Tagasiside kirjutamisülesande näidetele,242510,242485,likert explanation,Teine ja kolmas lõik on head näited.,12/04/2022 12:01,7,,, 
1,Tagasiside kirjutamisülesande näidetele,242510,242485,contextual comment,Ei olnud neist päris kindlalt aru saanud,12/04/2022 12:01,7,,, 
1,Tagasiside kirjutamisülesande näidetele,242510,242485,contextual comment,"Väidetava valeinfo blokeerimine ja sõnavabadus käivad kokku, niisamuti nagu need ka vastutuse osaga",12/04/2022 12:01,13,,, 
1,Tagasiside kirjutamisülesande näidetele,242510,242485,contextual comment,"Sõnavabaduse räige rikkumine, kus riik õn võtnud kõik enda kätesse.",12/04/2022 12:01,10,,, 
1,Tagasiside kirjutamisülesande näidetele,243177,243377,rating explanation,"Üldiselt võiks näited olla konkreetsemad. Meeldib teine väide",11/04/2022 13:42,8,,, 
1,Tagasiside kirjutamisülesande näidetele,243177,243377,likert explanation,3 näidet olemas,11/04/2022 13:42,3,,, 
1,Tagasiside kirjutamisülesande näidetele,243177,243377,contextual comment,"Sõnavabadus ei tähenda seda, et on sobilik kõike välja öelda.",11/04/2022 13:42,10,,, 
1,Tagasiside kirjutamisülesande näidetele,243177,243377,contextual comment,Netikommentaarides puudub inimestel vastutuse tunne.,11/04/2022 13:42,5,,, 
1,Tagasiside kirjutamisülesande näidetele,243177,243377,contextual comment,Oma sõnade eest tuleb vastutus võtta.,11/04/2022 13:42,6,,, 
1,Tagasiside kirjutamisülesande näidetele,242318,242529,likert explanation,"pole lahti kirjutanud, see on ok, ära muretse",10/04/2022 18:38,8,,, 
1,Tagasiside kirjutamisülesande näidetele,242318,242031,likert explanation,,10/04/2022 18:38,0,,, 
1,Tagasiside kirjutamisülesande näidetele,242360,242888,rating explanation,Meeldis teleseriaalide näide.,06/04/2022 13:59,3,,, 
1,Tagasiside kirjutamisülesande näidetele,242360,242888,likert explanation,"Vastutuse kandmine - minu arust võiks rääkida sellest rohkem, millised tagajärjed ütlemisest tulevad  Sõnavabaduse kohta on piisavalt näiteid, räägiti filmi- ja telemaastikust, kui ka sotsiaalmeediast.",06/04/2022 13:59,26,,, 
1,Tagasiside kirjutamisülesande näidetele,242360,242344,rating explanation,"Mulle meeldis näide sõnavabaduse kohta. Ma ei kasuta seda sõna, kuna tean selle ajalugu ja ei soovi kellelegi pahameelt tekitada.",05/04/2022 19:09,20,,, 
1,Tagasiside kirjutamisülesande näidetele,242360,242344,likert explanation,"Esimene näide mainib Hollandi aktivisti, kes peab vastutama oma elu eest, kuna teda ähvardati öeldu pärast. Sõnavabadusega on seotud kindlad sõnad ja nende tähendus (n-sõna). Oluline on, et sõnad kellegile liiga ei tee.",05/04/2022 19:09,33,,, 
1,Tagasiside kirjutamisülesande näidetele,242132,242689,rating explanation,Väga head ja mitmekülgsed näited!,03/04/2022 11:38,5,,, 
1,Tagasiside kirjutamisülesande näidetele,242132,242689,likert explanation,,03/04/2022 11:38,0,,, 
1,Tagasiside kirjutamisülesande näidetele,242132,242020,rating explanation,,03/04/2022 11:37,0,,, 
